Chave= dinovo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= somente; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= calor; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= architect; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= hifi; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= hein; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= brasileiro; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 3
Chave= dormir; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 4
Chave= musics; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= cansadao; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= febre; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= avateres; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= comecei; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= contornamos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= rapaaazzzz; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= necessidade; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= album; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= valesca; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= irritam; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= mdpaulistamdpaulistacombr; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= ghost; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= bayern; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= guetta; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= internet; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= servidores; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= consigo; Valor= -1; Escore Total= -4.0; Número de vezes em que aparece= 4
Chave= heroina; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= sinto; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= trabalho; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 4
Chave= fernando; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= argentina; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= albuquerque; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= gaga; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= play; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= eureka; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= haaaaa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= com; Valor= 0; Escore Total= 9.0; Número de vezes em que aparece= 81
Chave= tambem; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 6
Chave= estrada; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= bosta; Valor= -1; Escore Total= -3.0; Número de vezes em que aparece= 3
Chave= segunda; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 4
Chave= poise; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= praca; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= corram; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= bff; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= watch; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= musica; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 8
Chave= wave; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= swag; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= viver; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pop; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= acabar; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= sessoes; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= sofrido; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= teremos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= perfeita; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= dscwx; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= por; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 29
Chave= under; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= bandeira; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= colocar; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= restart; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= maximoo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= incluso; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= indas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= mouse; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= sandalias; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= patrocinam; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= relaxado; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= heimmm; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= high; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= juiz; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= todosssssssssssssss; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pow; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= dunk; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= programa; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= vascoooooo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= kit; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= terra; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= ansiosa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= contato; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= campanha; Valor= 0; Escore Total= 3.0; Número de vezes em que aparece= 4
Chave= gatinhos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= entrevistado; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= estara; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= menos; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 6
Chave= kibomseria; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= nostalgia; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= previo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= perfeito; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= sumiram; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= segurar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
